sigma	D	ang	X_gamma_s	X_err_s	X_gamma1	X_err1	X_gamma2	X_err2	X_gamma_eff	X_p95_lo	X_p95_hi	Z_gamma_s	Z_err_s	Z_gamma1	Z_err1	Z_gamma2	Z_err2	Z_gamma_eff	Z_p95_lo	Z_p95_hi
0.05	7.0	0	0.0217	0.0001	0.0068	0.0004	0.0252	0.0003	0.0208	-0.1339	0.1321	0.0220	0.0001	0.0059	0.0005	0.0247	0.0003	0.0210	-0.1324	0.1350
0.05	7.0	20	0.0221	0.0001	0.0064	0.0005	0.0252	0.0003	0.0211	-0.1442	0.1437	0.0221	0.0001	0.0054	0.0004	0.0248	0.0002	0.0209	-0.1431	0.1431
0.05	7.0	40	0.0231	0.0001	0.0072	0.0006	0.0273	0.0004	0.0220	-0.1927	0.1980	0.0234	0.0001	0.0073	0.0006	0.0274	0.0004	0.0223	-0.1881	0.1888
0.05	7.0	60	0.0304	0.0003	0.0127	0.0007	0.0435	0.0011	0.0293	-0.5290	0.5135	0.0320	0.0003	0.0078	0.0005	0.0394	0.0005	0.0292	-0.5353	0.5863
0.05	13.0	0	0.0242	0.0002	0.0082	0.0003	0.0340	0.0005	0.0226	-0.1668	0.1674	0.0241	0.0002	0.0084	0.0003	0.0339	0.0005	0.0226	-0.1669	0.1697
0.05	13.0	20	0.0241	0.0002	0.0075	0.0003	0.0335	0.0004	0.0223	-0.1794	0.1795	0.0242	0.0002	0.0074	0.0002	0.0341	0.0004	0.0223	-0.1796	0.1721
0.05	13.0	40	0.0251	0.0002	0.0083	0.0004	0.0351	0.0006	0.0234	-0.2304	0.2310	0.0250	0.0002	0.0082	0.0003	0.0359	0.0006	0.0233	-0.2248	0.2244
0.05	13.0	60	0.0330	0.0003	0.0084	0.0005	0.0440	0.0007	0.0297	-0.7197	0.7521	0.0335	0.0004	0.0083	0.0004	0.0465	0.0007	0.0295	-0.7407	0.8880
0.05	20.0	0	0.0272	0.0003	0.0066	0.0002	0.0391	0.0005	0.0238	-0.1968	0.2030	0.0275	0.0003	0.0065	0.0002	0.0393	0.0005	0.0238	-0.1971	0.2034
0.05	20.0	20	0.0269	0.0003	0.0065	0.0002	0.0393	0.0005	0.0234	-0.2070	0.2048	0.0270	0.0003	0.0066	0.0002	0.0397	0.0005	0.0236	-0.2032	0.1990
0.05	20.0	40	0.0277	0.0004	0.0058	0.0002	0.0392	0.0005	0.0235	-0.2370	0.2282	0.0277	0.0004	0.0077	0.0003	0.0414	0.0007	0.0247	-0.2183	0.2380
0.05	20.0	60	0.0305	0.0003	0.0090	0.0009	0.0423	0.0009	0.0277	-4.4430	0.6173	0.0318	0.0002	0.0001	0.0000	0.0414	0.0003	0.0002	-0.4153	12.0948
0.05	30.0	0	0.0310	0.0005	0.0051	0.0002	0.0431	0.0004	0.0245	-0.2364	0.2355	0.0312	0.0005	0.0048	0.0001	0.0426	0.0004	0.0243	-0.2418	0.2366
0.05	30.0	20	0.0306	0.0005	0.0053	0.0002	0.0432	0.0005	0.0244	-0.2210	0.2256	0.0307	0.0004	0.0049	0.0002	0.0418	0.0004	0.0243	-0.2230	0.2248
0.05	30.0	40	0.0306	0.0005	0.0051	0.0002	0.0421	0.0006	0.0245	-0.2095	0.2200	0.0314	0.0005	0.0049	0.0002	0.0426	0.0006	0.0248	-0.1994	0.2442
0.05	30.0	60	0.0364	0.0002	NaN	NaN	NaN	NaN	NaN	-7.1847	8.9974	0.0330	0.0003	NaN	NaN	NaN	NaN	NaN	-6.9454	25.7862
0.085	7.0	0	0.0344	0.0002	0.0084	0.0007	0.0379	0.0003	0.0327	-0.1818	0.1790	0.0345	0.0002	0.0080	0.0008	0.0378	0.0003	0.0328	-0.1811	0.1824
0.085	7.0	20	0.0349	0.0002	0.0055	0.0005	0.0378	0.0003	0.0323	-0.1908	0.1906	0.0350	0.0002	0.0067	0.0006	0.0384	0.0003	0.0327	-0.1897	0.1903
0.085	7.0	40	0.0362	0.0002	0.0079	0.0007	0.0406	0.0004	0.0339	-0.2349	0.2385	0.0368	0.0002	0.0092	0.0010	0.0411	0.0005	0.0349	-0.2295	0.2309
0.085	7.0	60	0.0476	0.0005	0.0158	0.0012	0.0636	0.0015	0.0447	-0.5495	0.5353	0.0491	0.0004	0.0192	0.0014	0.0667	0.0018	0.0470	-0.5608	0.6047
0.085	13.0	0	0.0378	0.0003	0.0130	0.0005	0.0528	0.0008	0.0356	-0.2098	0.2116	0.0375	0.0003	0.0145	0.0006	0.0544	0.0010	0.0358	-0.2079	0.2147
0.085	13.0	20	0.0378	0.0003	0.0129	0.0005	0.0529	0.0008	0.0355	-0.2210	0.2198	0.0375	0.0004	0.0128	0.0005	0.0536	0.0009	0.0352	-0.2209	0.2170
0.085	13.0	40	0.0393	0.0004	0.0110	0.0005	0.0524	0.0007	0.0360	-0.2633	0.2649	0.0392	0.0004	0.0145	0.0007	0.0572	0.0013	0.0372	-0.2630	0.2601
