Evento,Detector,X,Y,Z
41,1,-169.01,420.7,70.2226
41,2,-166.486,545.8,73.1833
41,3,-165.048,615.9,74.8333
42,0,-99999,-99999,-99999
42,1,-99999,-99999,-99999
42,2,-99999,-99999,-99999
42,3,-99999,-99999,-99999
43,0,-99999,-99999,-99999
43,1,-99999,-99999,-99999
43,2,-99999,-99999,-99999
43,3,-99999,-99999,-99999
44,0,-99999,-99999,-99999
44,1,-99999,-99999,-99999
44,2,-99999,-99999,-99999
44,3,-99999,-99999,-99999
45,0,-118.88,350.791,208.622
45,1,-46.4235,420.896,120.016
45,2,82.7154,545.843,-37.8918
45,3,155.262,615.948,-126.483
46,0,-99999,-99999,-99999
46,1,229.929,420.768,-193.267
46,2,139.806,545.535,-145.674
46,3,89.0142,615.845,-118.812
47,0,-99999,-99999,-99999
47,1,208.979,420.443,-233.428
47,2,233.323,545.814,-189.677
47,3,246.979,615.907,-165.189
48,0,-213.021,350.59,-210.881
48,1,-181.654,420.754,-173.094
48,2,-125.771,545.836,-105.653
48,3,-94.3441,615.918,-67.846
49,0,-196.406,350.945,-172.343
49,1,-92.3263,420.945,-192.012
49,2,93.5841,545.945,-227.059
49,3,197.544,615.78,-246.655
50,0,-99999,-99999,-99999
50,1,-99999,-99999,-99999
50,2,-99999,-99999,-99999
50,3,-99999,-99999,-99999
51,0,64.9527,350.81,-81.0793
51,1,68.8107,420.716,-104.149
51,2,75.7117,545.81,-145.451
51,3,79.547,615.241,-168.371
52,0,-99999,-99999,-99999
52,1,-99999,-99999,-99999
52,2,-99999,-99999,-99999
52,3,-99999,-99999,-99999
53,0,249.962,343.742,72.1097
53,1,-99999,-99999,-99999
53,2,-99999,-99999,-99999
53,3,-99999,-99999,-99999
54,0,-15.0062,350.86,33.6238
54,1,55.5556,420.789,41.0028
54,2,180.938,545.157,54.1336
54,3,249.788,613.478,61.3555
55,0,108.536,350.904,126.115
55,1,120.927,420.809,108.869
55,2,143.131,545.809,78.0743
55,3,155.642,615.904,60.8699
56,0,-99999,-99999,-99999
56,1,-99999,-99999,-99999
56,2,-99999,-99999,-99999
56,3,-99999,-99999,-99999
57,0,249.899,343.292,215.326
57,1,-99999,-99999,-99999
57,2,-99999,-99999,-99999
57,3,-99999,-99999,-99999
58,0,-97.2788,346.33,-249.908
58,1,-99999,-99999,-99999
58,2,-99999,-99999,-99999
58,3,-99999,-99999,-99999
59,0,-99999,-99999,-99999
59,1,-99999,-99999,-99999
59,2,-99999,-99999,-99999
59,3,-99999,-99999,-99999
60,0,-99999,-99999,-99999
60,1,-99999,-99999,-99999
60,2,-99999,-99999,-99999
60,3,-99999,-99999,-99999
61,0,-99999,-99999,-99999
61,1,-99999,-99999,-99999
61,2,-99999,-99999,-99999
61,3,-99999,-99999,-99999
62,0,-99999,-99999,-99999
62,1,-99999,-99999,-99999
62,2,48.0739,545.519,-173.263
62,3,23.953,615.759,-126.791
63,0,56.8372,350.405,-145.598
63,1,55.4352,420.505,-136.108
63,2,52.9252,545.802,-119.372
63,3,51.4182,614.315,-110.318
64,0,85.8555,350.865,208.666
64,1,-99999,-99999,-99999
64,2,-99999,-99999,-99999
64,3,-99999,-99999,-99999
65,0,-99999,-99999,-99999
65,1,-99999,-99999,-99999
65,2,-99999,-99999,-99999
65,3,-99999,-99999,-99999
66,0,31.3679,350.9,-249.134
66,1,-99999,-99999,-99999
66,2,-99999,-99999,-99999
66,3,-99999,-99999,-99999
67,0,-99999,-99999,-99999
67,1,-99999,-99999,-99999
