Evento,Detector,X,Y,Z
41,1,-99999,-99999,-99999
41,2,-99999,-99999,-99999
41,3,-99999,-99999,-99999
42,0,-99999,-99999,-99999
42,1,-99999,-99999,-99999
42,2,-99999,-99999,-99999
42,3,-99999,-99999,-99999
43,0,-232.079,350.672,208.92
43,1,-227.191,420.426,160.829
43,2,-220.206,510.755,97.8337
43,3,-213.911,580.51,48.6554
44,0,-99999,-99999,-99999
44,1,-99999,-99999,-99999
44,2,-99999,-99999,-99999
44,3,-238.841,580.912,99.4105
45,0,-99999,-99999,-99999
45,1,243.782,420.567,-152.522
45,2,155.065,505.418,-249.938
45,3,-99999,-99999,-99999
46,0,197.129,350.867,132.147
46,1,126.257,420.933,99.1868
46,2,35.5605,510.334,57.0263
46,3,-35.9945,580.867,23.712
47,0,142.552,349.76,-176.389
47,1,121.662,420.905,-168.291
47,2,95.3326,510.809,-157.952
47,3,74.9087,580.809,-149.944
48,0,-99999,-99999,-99999
48,1,-227.17,420.913,-199.728
48,2,-193.838,510.04,-162.577
48,3,-167.304,580.738,-132.97
49,0,-99999,-99999,-99999
49,1,-99999,-99999,-99999
49,2,-99999,-99999,-99999
49,3,-31.4308,580.862,245.637
50,0,-35.4857,349.796,202.501
50,1,8.95873,414.981,249.948
50,2,-99999,-99999,-99999
50,3,-99999,-99999,-99999
51,0,-41.3048,350.815,-116.667
51,1,-32.7558,420.63,-89.3522
51,2,-21.7759,510.63,-54.1574
51,3,-13.2348,580.63,-26.7464
52,0,-99999,-99999,-99999
52,1,-99999,-99999,-99999
52,2,-99999,-99999,-99999
52,3,-99999,-99999,-99999
53,0,-216.651,350.523,146.706
53,1,-249.925,420.82,104.715
53,2,-99999,-99999,-99999
53,3,-99999,-99999,-99999
54,0,-124.57,350.76,141.179
54,1,-73.3528,420.76,153.592
54,2,-7.50933,510.76,169.567
54,3,43.6524,580.76,182.005
55,0,-118.691,350.879,43.1718
55,1,-27.0012,420.819,54.4704
55,2,91.0703,510.879,69.0498
55,3,182.545,580.638,80.3516
56,0,-99999,-99999,-99999
56,1,-99999,-99999,-99999
56,2,-99999,-99999,-99999
56,3,-99999,-99999,-99999
57,0,139.662,350.809,-193.28
57,1,123.36,420.809,-179.457
57,2,102.339,510.809,-161.539
57,3,86.2608,580.139,-147.659
58,0,-99999,-99999,-99999
58,1,-99999,-99999,-99999
58,2,-99999,-99999,-99999
58,3,-99999,-99999,-99999
59,0,-99999,-99999,-99999
59,1,-99999,-99999,-99999
59,2,-99999,-99999,-99999
59,3,-99999,-99999,-99999
60,0,-99999,-99999,-99999
60,1,-99999,-99999,-99999
60,2,-99999,-99999,-99999
60,3,-99999,-99999,-99999
61,0,-46.9848,350.403,-45.6464
61,1,-44.3084,420.901,-38.9497
61,2,-40.8946,510.801,-30.4102
61,3,-38.2304,580.801,-23.7531
62,0,-99999,-99999,-99999
62,1,-99999,-99999,-99999
62,2,-99999,-99999,-99999
62,3,-99999,-99999,-99999
63,0,-99999,-99999,-99999
63,1,-186.105,420.757,-140.505
63,2,-95.7923,510.209,-66.069
63,3,-24.1295,580.939,-7.58834
64,0,-99999,-99999,-99999
64,1,-99999,-99999,-99999
64,2,-99999,-99999,-99999
