sigma	D	ang	X3_gamma	X3_err	X3_p95_lo	X3_p95_hi	Z3_gamma	Z3_err	Z3_p95_lo	Z3_p95_hi	X4_gamma1	X4_err1	X4_gamma2	X4_err2	X4_gamma_eff	X4_p95_lo	X4_p95_hi	Z4_gamma1	Z4_err1	Z4_gamma2	Z4_err2	Z4_gamma_eff	Z4_p95_lo	Z4_p95_hi
0.13	13.0	60	0.0004	0.0000	-15.5157	14.2671	0.1753	0.0638	-50.1386	28.2952	0.0082	0.0016	0.0560	0.0020	0.0416	-0.1914	0.1860	0.0134	0.0023	0.0600	0.0030	0.0428	-0.1982	0.1979
0.13	20.0	0	0.1707	0.0065	-0.9301	0.9394	0.1721	0.0067	-0.9169	0.8971	0.0167	0.0009	0.0807	0.0025	0.0465	-0.2022	0.2043	0.0161	0.0010	0.0780	0.0024	0.0466	-0.2034	0.2069
0.13	20.0	20	0.1743	0.0068	-1.0070	0.9958	0.1736	0.0066	-1.0908	0.7918	0.0170	0.0010	0.0800	0.0026	0.0467	-0.2037	0.2024	0.0168	0.0010	0.0804	0.0027	0.0465	-0.2036	0.2026
0.13	20.0	40	0.1782	0.0071	-1.4535	1.2917	0.1724	0.0063	-0.9715	2.1810	0.0160	0.0013	0.0795	0.0033	0.0466	-0.2021	0.2025	0.0177	0.0012	0.0808	0.0032	0.0473	-0.2042	0.2052
0.13	20.0	60	0.1567	0.1575	-34.1739	33.0538	0.3327	0.2258	-149.2151	145.6167	0.0198	0.0036	0.0803	0.0078	0.0504	-0.2092	0.1899	0.0140	0.0023	0.0711	0.0045	0.0453	-0.2208	0.2159
0.13	30.0	0	0.1833	0.0072	-4.2107	3.8204	0.1816	0.0070	-4.7945	3.7592	0.0123	0.0008	0.0875	0.0025	0.0485	-0.2223	0.2236	0.0139	0.0010	0.0904	0.0030	0.0501	-0.2231	0.2226
0.13	30.0	20	0.1749	0.0065	-1.5922	2.3760	0.1761	0.0068	-2.0453	1.5547	0.0127	0.0008	0.0903	0.0027	0.0493	-0.2227	0.2198	0.0124	0.0008	0.0873	0.0026	0.0482	-0.2222	0.2213
0.13	30.0	40	0.1787	0.0069	-0.9016	1.2227	0.1840	0.0065	-0.5283	5.3372	0.0144	0.0012	0.0922	0.0039	0.0505	-0.2152	0.2132	0.0132	0.0010	0.0887	0.0031	0.0484	-0.2212	0.2220
0.13	30.0	60	0.2723	0.1043	-83.6611	78.2869	0.0063	0.0003	-353.7748	235.6071	0.0116	0.0017	0.0864	0.0055	0.0467	-0.2119	0.2214	0.0133	0.0019	0.0985	0.0086	0.0466	-0.2496	0.2200
0.2	7.0	0	0.2617	0.0078	-0.6277	0.6199	0.2618	0.0081	-0.6338	0.6209	0.0062	0.0029	0.0681	0.0009	0.0602	-0.2191	0.2194	0.0042	0.0031	0.0682	0.0008	0.0600	-0.2196	0.2191
0.2	7.0	20	0.2574	0.0080	-0.6433	0.6719	0.2613	0.0083	-0.6694	0.6495	0.0085	0.0054	0.0686	0.0011	0.0642	-0.2213	0.2209	0.0105	0.0039	0.0696	0.0012	0.0634	-0.2175	0.2196
0.2	7.0	40	0.2550	0.0092	-0.8698	0.8657	0.2510	0.0086	-0.8170	0.8299	0.0127	0.0066	0.0698	0.0017	0.0645	-0.2230	0.2270	0.0091	0.0029	0.0701	0.0013	0.0617	-0.2261	0.2222
0.2	7.0	60	0.2540	0.0102	-5.7916	3.7824	0.1718	0.0148	-18.0871	5.6501	0.0041	0.0017	0.0697	0.0014	0.0586	-0.2474	0.2395	0.0123	0.0119	0.0712	0.0023	0.0669	-0.2482	0.2451
0.2	13.0	0	0.2586	0.0087	-0.7454	0.7329	0.2607	0.0087	-0.7177	0.7641	0.0208	0.0015	0.0885	0.0019	0.0643	-0.2543	0.2572	0.0229	0.0018	0.0882	0.0021	0.0648	-0.2581	0.2577
0.2	13.0	20	0.2580	0.0083	-0.7841	0.7793	0.2594	0.0082	-0.8026	0.7149	0.0220	0.0016	0.0889	0.0019	0.0651	-0.2583	0.2569	0.0287	0.0020	0.0952	0.0031	0.0661	-0.2556	0.2561
0.2	13.0	40	0.2533	0.0093	-1.1105	1.2930	0.2589	0.0101	-1.1591	1.0667	0.0278	0.0027	0.0946	0.0039	0.0664	-0.2616	0.2621	0.0282	0.0029	0.0947	0.0042	0.0667	-0.2601	0.2621
0.2	13.0	60	0.0004	0.0000	-15.4292	14.3479	0.2377	0.0345	-50.1763	28.3192	0.0146	0.0037	0.0848	0.0038	0.0643	-0.2696	0.2707	0.0328	0.0063	0.0996	0.0112	0.0672	-0.2751	0.2751
0.2	20.0	0	0.2580	0.0098	-0.9943	1.0352	0.2590	0.0097	-0.9896	0.9609	0.0255	0.0013	0.1221	0.0038	0.0699	-0.2875	0.2898	0.0240	0.0015	0.1170	0.0037	0.0696	-0.2901	0.2921
0.2	20.0	20	0.2621	0.0104	-1.0400	1.0680	0.2624	0.0100	-1.1578	0.8868	0.0249	0.0014	0.1210	0.0039	0.0691	-0.2894	0.2868	0.0224	0.0013	0.1178	0.0038	0.0676	-0.2879	0.2859
0.2	20.0	40	0.2651	0.0113	-1.4718	1.3400	0.2551	0.0095	-1.0014	2.1873	0.0237	0.0014	0.1215	0.0041	0.0690	-0.2869	0.2845	0.0279	0.0021	0.1238	0.0060	0.0710	-0.2886	0.2908
0.2	20.0	60	0.2184	0.1133	-34.1446	33.0849	0.3323	0.2167	-149.2715	145.6570	0.0169	0.0033	0.1030	0.0059	0.0684	-0.3042	0.2771	0.0083	0.0029	0.0918	0.0040	0.0586	-0.3032	0.3075
0.2	30.0	0	0.2620	0.0108	-4.2371	3.8834	0.2599	0.0106	-4.8051	3.7635	0.0193	0.0011	0.1351	0.0038	0.0728	-0.3109	0.3161	0.0203	0.0012	0.1371	0.0043	0.0740	-0.3169	0.3154
0.2	30.0	20	0.2568	0.0098	-1.6053	2.4020	0.2609	0.0107	-2.0818	1.5367	0.0189	0.0011	0.1359	0.0040	0.0736	-0.3168	0.3124	0.0188	0.0012	0.1333	0.0041	0.0721	-0.3140	0.3127
0.2	30.0	40	0.2677	0.0108	-0.9556	1.2809	0.2770	0.0105	-0.6851	5.3907	0.0193	0.0013	0.1357	0.0045	0.0741	-0.3061	0.3028	0.0176	0.0013	0.1293	0.0041	0.0714	-0.3122	0.3089
0.2	30.0	60	0.2061	0.1844	-83.6545	78.3286	0.0060	0.0002	-353.7568	235.6151	0.0120	0.0020	0.1253	0.0072	0.0637	-0.3125	0.3186	0.0206	0.0031	0.1444	0.0129	0.0725	-0.3484	0.3248
