Total eventos: 173186
Eventos con 3 hits: 14451
Eventos con 4 hits: 50392
Eventos con 3 o 4 hits: 64843
----------------------------------------
Evento 1457: ResX=-0.051 ResZ=0.201
Evento 1460: ResX=-0.111 ResZ=-0.096
Evento 1480: ResX=9.849 ResZ=-1.173
Evento 1484: ResX=-0.065 ResZ=0.028
Evento 1486: ResX=-0.046 ResZ=-0.014
Evento 1495: ResX=0.146 ResZ=-0.082
Evento 1496: ResX=0.031 ResZ=-0.027
Evento 1513: ResX=0.080 ResZ=0.374
Evento 1535: ResX=-0.153 ResZ=-0.054
Evento 1539: ResX=0.008 ResZ=-0.028
Evento 1542: ResX=0.060 ResZ=0.100
Evento 1549: ResX=-0.106 ResZ=0.092
Evento 1557: ResX=37.921 ResZ=-27.526
Evento 1580: ResX=-0.303 ResZ=-0.049
Evento 1590: ResX=0.057 ResZ=-0.171
Evento 1593: ResX=0.035 ResZ=-0.166
Evento 1595: ResX=0.014 ResZ=-0.125
Evento 1601: ResX=-0.165 ResZ=0.151
Evento 1606: ResX=-0.024 ResZ=0.043
Evento 1608: ResX=-0.084 ResZ=-0.247
Evento 1615: ResX=0.074 ResZ=0.015
Evento 1632: ResX=-0.106 ResZ=-0.251
Evento 1663: ResX=-0.048 ResZ=0.061
Evento 1678: ResX=-0.060 ResZ=0.214
Evento 1701: ResX=0.039 ResZ=0.040
Evento 1728: ResX=6.117 ResZ=-2.058
Evento 1748: ResX=0.054 ResZ=-0.208
Evento 1755: ResX=-0.033 ResZ=-0.058
Evento 1771: ResX=0.054 ResZ=0.104
Evento 1788: ResX=0.112 ResZ=-0.054
Evento 1800: ResX=-0.090 ResZ=-0.003
Evento 1804: ResX=0.055 ResZ=-0.327
Evento 1831: ResX=-0.164 ResZ=-0.192
Evento 1837: ResX=-0.066 ResZ=0.149
Evento 1839: ResX=0.117 ResZ=-0.019
Evento 1842: ResX=-0.093 ResZ=-0.226
Evento 1856: ResX=-0.023 ResZ=-0.018
Evento 1865: ResX=-0.143 ResZ=-0.198
Evento 1874: ResX=0.125 ResZ=0.277
Evento 1899: ResX=0.153 ResZ=-0.131
Evento 1911: ResX=-0.199 ResZ=-0.108
Evento 1920: ResX=0.001 ResZ=0.078
Evento 1932: ResX=-0.297 ResZ=-0.290
Evento 1933: ResX=-0.014 ResZ=-0.089
Evento 1958: ResX=-0.011 ResZ=0.217
Evento 1979: ResX=-0.015 ResZ=-0.031
Evento 1980: ResX=0.171 ResZ=-0.217
Evento 1991: ResX=0.058 ResZ=0.049
Evento 2006: ResX=0.181 ResZ=-0.217
Evento 2008: ResX=0.087 ResZ=0.125
Evento 2021: ResX=-0.134 ResZ=-0.168
Evento 2034: ResX=-0.152 ResZ=0.222
Evento 2037: ResX=-0.124 ResZ=0.050
Evento 2070: ResX=-0.122 ResZ=-0.292
Evento 2102: ResX=-0.046 ResZ=-0.192
Evento 2103: ResX=0.010 ResZ=-0.113
Evento 2129: ResX=0.002 ResZ=0.161
Evento 2139: ResX=0.062 ResZ=-0.041
Evento 2143: ResX=0.119 ResZ=-0.074
