Total eventos: 20001
Eventos con 3 hits: 1609
Eventos con 4 hits: 4962
Eventos con 3 o 4 hits: 6571
----------------------------------------
Evento 1572: ResX=0.119 ResZ=-0.005
Evento 1582: ResX=-0.052 ResZ=0.007
Evento 1584: ResX=0.067 ResZ=0.037
Evento 1586: ResX=0.204 ResZ=-0.227
Evento 1587: ResX=0.072 ResZ=0.110
Evento 1602: ResX=-0.203 ResZ=-0.044
Evento 1654: ResX=-0.005 ResZ=0.074
Evento 1657: ResX=-0.126 ResZ=-0.159
Evento 1683: ResX=-0.005 ResZ=0.067
Evento 1701: ResX=-0.040 ResZ=-0.031
Evento 1712: ResX=-0.042 ResZ=0.177
Evento 1714: ResX=0.029 ResZ=0.019
Evento 1722: ResX=0.025 ResZ=-0.183
Evento 1723: ResX=-0.003 ResZ=0.186
Evento 1730: ResX=-0.068 ResZ=0.128
Evento 1735: ResX=-0.084 ResZ=-0.158
Evento 1741: ResX=0.031 ResZ=-0.059
Evento 1753: ResX=-0.021 ResZ=-0.033
Evento 1767: ResX=-0.035 ResZ=-0.051
Evento 1768: ResX=-0.200 ResZ=0.051
Evento 1777: ResX=0.085 ResZ=-0.139
Evento 1795: ResX=-0.016 ResZ=-0.017
Evento 1796: ResX=-0.110 ResZ=-0.085
Evento 1814: ResX=-0.078 ResZ=-0.069
Evento 1815: ResX=-0.129 ResZ=-0.159
Evento 1859: ResX=0.106 ResZ=-0.274
Evento 1865: ResX=-0.030 ResZ=0.135
Evento 1881: ResX=-0.022 ResZ=0.222
Evento 1883: ResX=-5.735 ResZ=36.325
Evento 1885: ResX=0.095 ResZ=-0.172
Evento 1906: ResX=-0.216 ResZ=-0.094
Evento 1955: ResX=-0.095 ResZ=0.025
Evento 1975: ResX=0.059 ResZ=0.151
Evento 1984: ResX=0.100 ResZ=-0.023
Evento 2014: ResX=-0.035 ResZ=-0.197
Evento 2022: ResX=0.468 ResZ=0.118
Evento 2024: ResX=-0.101 ResZ=-0.111
Evento 2035: ResX=-0.109 ResZ=0.093
Evento 2055: ResX=0.027 ResZ=0.016
Evento 2061: ResX=0.083 ResZ=0.098
Evento 2064: ResX=0.126 ResZ=0.024
Evento 2078: ResX=-0.136 ResZ=0.064
Evento 2102: ResX=-0.357 ResZ=0.216
Evento 2109: ResX=0.096 ResZ=-0.249
Evento 2113: ResX=-0.069 ResZ=0.022
Evento 2124: ResX=0.064 ResZ=-0.042
Evento 2128: ResX=0.112 ResZ=-0.117
Evento 2156: ResX=0.100 ResZ=-0.090
Evento 2165: ResX=-0.002 ResZ=0.047
Evento 2179: ResX=0.009 ResZ=0.004
Evento 2207: ResX=0.135 ResZ=0.098
Evento 2209: ResX=-0.080 ResZ=0.069
Evento 2216: ResX=0.061 ResZ=0.028
Evento 2218: ResX=0.043 ResZ=0.170
Evento 2224: ResX=0.011 ResZ=-0.178
Evento 2235: ResX=-0.149 ResZ=-0.038
Evento 2251: ResX=0.067 ResZ=-0.109
Evento 2263: ResX=0.034 ResZ=0.082
Evento 2270: ResX=-0.088 ResZ=0.173
Evento 2272: ResX=-0.252 ResZ=0.648
Evento 2284: ResX=-28.698 ResZ=-24.120
Evento 2285: ResX=-0.019 ResZ=0.087
Evento 2286: ResX=0.125 ResZ=0.075
Evento 2294: ResX=0.045 ResZ=0.076
Evento 2299: ResX=-0.194 ResZ=-0.106
Evento 2305: ResX=0.184 ResZ=0.216
Evento 2315: ResX=0.040 ResZ=0.314
Evento 2320: ResX=-21.197 ResZ=33.785
Evento 2322: ResX=0.023 ResZ=-0.049
Evento 2382: ResX=0.014 ResZ=-0.026
Evento 2384: ResX=-0.164 ResZ=-0.144
Evento 2393: ResX=0.130 ResZ=0.246
Evento 2402: ResX=-0.150 ResZ=0.105
Evento 2405: ResX=-0.049 ResZ=0.094
Evento 2418: ResX=-0.121 ResZ=0.118
Evento 2433: ResX=-0.047 ResZ=-0.042
Evento 2446: ResX=-0.017 ResZ=0.059
