Evento,Detector,X,Y,Z
0,0,128.237,350.909,-201.283
0,1,156.374,420.909,-185.908
0,2,206.408,545.545,-158.562
0,3,234.541,615.546,-143.213
1,0,-99999,-99999,-99999
1,1,-99999,-99999,-99999
1,2,-99999,-99999,-99999
1,3,-99999,-99999,-99999
2,0,-101.821,350.71,167.285
2,1,-100.909,420.855,100.635
2,2,-99.2844,545.928,-18.2021
2,3,-98.3776,615.855,-84.6452
3,0,199.41,350.484,-91.5414
3,1,206.249,420.226,-132.426
3,2,218.641,545.742,-205.993
3,3,225.611,615.914,-247.129
4,0,-99999,-99999,-99999
4,1,162.206,420.941,199.779
4,2,95.1455,545.821,44.2104
4,3,58.2928,615.94,-42.7158
5,0,7.18381,350.694,-138.803
5,1,-11.753,420.236,-83.2588
5,2,-45.9476,545.924,17.1017
5,3,-64.9689,615.847,72.9592
6,0,-99999,-99999,-99999
6,1,-99999,-99999,-99999
6,2,-99999,-99999,-99999
6,3,-99999,-99999,-99999
7,0,-34.6209,350.797,164.354
7,1,-105.042,420.726,136.292
7,2,-229.61,545.387,87.8945
7,3,-99999,-99999,-99999
8,0,-99999,-99999,-99999
8,1,-99999,-99999,-99999
8,2,-99999,-99999,-99999
8,3,-99999,-99999,-99999
9,0,-99999,-99999,-99999
9,1,-99999,-99999,-99999
9,2,-99999,-99999,-99999
9,3,-99999,-99999,-99999
10,0,-99999,-99999,-99999
10,1,-99999,-99999,-99999
10,2,-99999,-99999,-99999
10,3,-99999,-99999,-99999
11,0,-99999,-99999,-99999
11,1,-99999,-99999,-99999
11,2,-31.6065,545.937,-205.952
11,3,-15.9029,615.937,-122.014
12,0,-249.963,343,-216.612
12,1,-99999,-99999,-99999
12,2,-99999,-99999,-99999
12,3,-99999,-99999,-99999
13,0,-161.482,350.938,-231.951
13,1,-190.434,420.75,-149.422
13,2,-242.141,545.314,-2.07381
13,3,-99999,-99999,-99999
14,0,138.123,350.37,28.3157
14,1,105.262,420.93,92.4079
14,2,47.2263,545.58,205.619
14,3,-99999,-99999,-99999
15,0,-99999,-99999,-99999
15,1,-99999,-99999,-99999
15,2,-99999,-99999,-99999
15,3,-99999,-99999,-99999
16,0,-99999,-99999,-99999
16,1,-99999,-99999,-99999
16,2,-184.3,545.878,-247.04
16,3,-103.76,615.939,-204.427
17,0,-195.158,350.872,-129.801
17,1,-217.48,420.873,-211.357
17,2,-99999,-99999,-99999
17,3,-99999,-99999,-99999
18,0,-242.419,350.505,181.37
18,1,-99999,-99999,-99999
18,2,-99999,-99999,-99999
18,3,-99999,-99999,-99999
19,0,-158.867,350.938,26.7021
19,1,-244.153,420.815,52.9481
19,2,-99999,-99999,-99999
19,3,-99999,-99999,-99999
20,0,-99999,-99999,-99999
20,1,-99999,-99999,-99999
20,2,-99999,-99999,-99999
20,3,-99999,-99999,-99999
21,0,-99999,-99999,-99999
21,1,-99999,-99999,-99999
21,2,233.173,545.714,112.162
21,3,211.858,615.905,119.826
22,0,231.926,350.7,180.668
22,1,229.947,420.9,180.593
22,2,226.41,545.5,180.53
22,3,224.443,615.9,180.514
23,0,-99999,-99999,-99999
23,1,-99999,-99999,-99999
23,2,-99999,-99999,-99999
23,3,-99999,-99999,-99999
24,0,-99999,-99999,-99999
24,1,-99999,-99999,-99999
24,2,-99999,-99999,-99999
24,3,-99999,-99999,-99999
25,0,-99999,-99999,-99999
25,1,-99999,-99999,-99999
25,2,-99999,-99999,-99999
25,3,-99999,-99999,-99999
26,0,-114.494,350.904,-168.411
26,1,-104.056,420.808,-151.369
26,2,-85.3628,545.904,-120.842
26,3,-74.9101,615.904,-103.759
27,0,-99999,-99999,-99999
27,1,-99999,-99999,-99999
27,2,92.546,545.937,-245.178
27,3,109.415,615.937,-161.644
28,0,49.2689,350.914,30.7633
28,1,66.7537,420.914,-6.76072
28,2,97.7967,545.656,-73.7124
28,3,115.24,615.742,-111.342
29,0,-99999,-99999,-99999
29,1,-99999,-99999,-99999
29,2,-155.327,545.557,-228.985
29,3,-218.033,615.631,-215.389
30,0,-22.9847,350.814,-150.442
30,1,-43.2546,420.907,-169.926
30,2,-79.3115,545.536,-204.607
30,3,-99.7427,615.907,-224.193
