Evento,Detector,X,Y,Z
41,2,-99999,-99999,-99999
41,3,-99999,-99999,-99999
42,0,-99999,-99999,-99999
42,1,-99999,-99999,-99999
42,2,-99999,-99999,-99999
42,3,-99999,-99999,-99999
43,0,-99999,-99999,-99999
43,1,-99999,-99999,-99999
43,2,-99999,-99999,-99999
43,3,-99999,-99999,-99999
44,0,-39.2294,350.628,126.095
44,1,-41.4796,420.907,154.081
44,2,-46.1541,570.814,213.713
44,3,-48.2894,640.722,241.596
45,0,-99999,-99999,-99999
45,1,-99999,-99999,-99999
45,2,-99999,-99999,-99999
45,3,-99999,-99999,-99999
46,0,-99999,-99999,-99999
46,1,-99999,-99999,-99999
46,2,-99999,-99999,-99999
46,3,-99999,-99999,-99999
47,0,-99999,-99999,-99999
47,1,-99999,-99999,-99999
47,2,-99999,-99999,-99999
47,3,131.871,640.557,-226.856
48,0,83.9406,350.741,-238.842
48,1,43.4774,420.828,-246.976
48,2,-99999,-99999,-99999
48,3,-99999,-99999,-99999
49,0,-99999,-99999,-99999
49,1,-99999,-99999,-99999
49,2,-99999,-99999,-99999
49,3,-99999,-99999,-99999
50,0,-99999,-99999,-99999
50,1,-99999,-99999,-99999
50,2,-99999,-99999,-99999
50,3,230.657,640.819,-0.91092
51,0,147.474,350,2.38182
51,1,147.403,420.818,-29.9731
51,2,147.277,570.818,-98.3261
51,3,147.233,640.909,-130.258
52,0,119.811,350.928,-137.192
52,1,181.791,420.069,-163.456
52,2,-99999,-99999,-99999
52,3,-99999,-99999,-99999
53,0,1.32618,350.748,-124.424
53,1,-39.736,420.874,-48.2481
53,2,-127.728,570.937,114.878
53,3,-168.631,640.685,190.672
54,0,-99999,-99999,-99999
54,1,-99999,-99999,-99999
54,2,137.341,570.646,-106.893
54,3,136.148,640.929,-36.7392
55,0,-99999,-99999,-99999
55,1,-99999,-99999,-99999
55,2,-99999,-99999,-99999
55,3,-99999,-99999,-99999
56,0,-99999,-99999,-99999
56,1,-239.851,420.325,223.334
56,2,-198.696,570.807,221.916
56,3,-179.759,640.807,221.237
57,0,-149.102,350.844,-215.792
57,1,-99999,-99999,-99999
57,2,-99999,-99999,-99999
57,3,-99999,-99999,-99999
58,0,-91.6899,350.936,-102.163
58,1,-174.042,420.872,-120.917
58,2,-99999,-99999,-99999
58,3,-99999,-99999,-99999
59,0,-99999,-99999,-99999
59,1,-99999,-99999,-99999
59,2,-99999,-99999,-99999
59,3,-99999,-99999,-99999
60,0,132.25,350.825,-144.471
60,1,100.976,420.299,-166.612
60,2,33.9089,569.774,-214.16
60,3,2.0826,640.825,-236.977
61,0,49.7215,350.703,-50.7848
61,1,57.4079,420.481,-113.335
61,2,73.9946,570.926,-248.204
61,3,-99999,-99999,-99999
62,0,-54.8045,349.91,178.527
62,1,-32.5162,420.909,154.605
62,2,14.4434,570.637,104.132
62,3,36.5041,640.818,80.4477
63,0,-50.2476,350.942,225.581
63,1,5.34179,420.594,145.002
63,2,125.15,570.826,-28.6869
63,3,180.876,640.71,-109.499
64,0,-99999,-99999,-99999
64,1,-99999,-99999,-99999
64,2,-99999,-99999,-99999
64,3,-99999,-99999,-99999
65,0,201.262,350.911,-134.483
65,1,166.354,420.732,-134.588
65,2,91.1337,570.911,-134.856
65,3,56.1209,640.821,-135.03
66,0,-99999,-99999,-99999
66,1,-99999,-99999,-99999
66,2,-99999,-99999,-99999
66,3,-99999,-99999,-99999
67,0,-99999,-99999,-99999
67,1,-239.755,420.857,34.0514
67,2,-111.278,570.785,104.679
