Evento,Detector,X,Y,Z
0,0,120.441,350.652,-205.922
0,1,155.134,420.652,-186.683
0,2,-99999,-99999,-99999
0,3,-99999,-99999,-99999
1,0,140.05,350.063,11.4529
1,1,132.288,420.915,-31.412
1,2,104.931,670.489,-182.355
1,3,97.2284,740.83,-224.886
2,0,-99999,-99999,-99999
2,1,-99999,-99999,-99999
2,2,-99999,-99999,-99999
2,3,-99999,-99999,-99999
3,0,-74.4921,350.575,-186.318
3,1,-115.224,420.49,-171.914
3,2,-99999,-99999,-99999
3,3,-99999,-99999,-99999
4,0,-99999,-99999,-99999
4,1,-99999,-99999,-99999
4,2,-99999,-99999,-99999
4,3,-99999,-99999,-99999
5,0,-99999,-99999,-99999
5,1,-99999,-99999,-99999
5,2,-99999,-99999,-99999
5,3,-99999,-99999,-99999
6,0,-99999,-99999,-99999
6,1,-99999,-99999,-99999
6,2,-99999,-99999,-99999
6,3,-99999,-99999,-99999
7,0,-99999,-99999,-99999
7,1,-99999,-99999,-99999
7,2,11.8818,670.309,-200.125
7,3,15.7712,740.914,-159.159
8,0,-99999,-99999,-99999
8,1,-99999,-99999,-99999
8,2,146.177,670.914,224.023
8,3,140.118,740.742,183.051
9,0,-99999,-99999,-99999
9,1,-248.457,420.905,170.1
9,2,-176.706,670.81,130.738
9,3,-156.772,740.81,119.986
10,0,-37.884,350.627,213.886
10,1,-59.6869,420.254,198.098
10,2,-138.022,670.907,141.033
10,3,-159.843,740.441,125.128
11,0,-99999,-99999,-99999
11,1,141.963,420.708,-237.046
11,2,179.739,670.806,-189.773
11,3,190.235,740.417,-176.672
12,0,-99999,-99999,-99999
12,1,-99999,-99999,-99999
12,2,-99999,-99999,-99999
12,3,-99999,-99999,-99999
13,0,33.8739,350.683,-130.84
13,1,60.0609,420.366,-177.738
13,2,-99999,-99999,-99999
13,3,-99999,-99999,-99999
14,0,-99999,-99999,-99999
14,1,-99999,-99999,-99999
14,2,-99999,-99999,-99999
14,3,-99999,-99999,-99999
15,0,-99999,-99999,-99999
15,1,-99999,-99999,-99999
15,2,-99999,-99999,-99999
15,3,-99999,-99999,-99999
16,0,-99999,-99999,-99999
16,1,-99999,-99999,-99999
16,2,-99999,-99999,-99999
16,3,-149.691,740.936,-206.827
17,0,6.35433,350.909,-125.589
17,1,-22.2518,420.909,-138.824
17,2,-124.435,670.909,-186.093
17,3,-152.989,740.726,-199.29
18,0,-99999,-99999,-99999
18,1,-99999,-99999,-99999
18,2,-99999,-99999,-99999
18,3,-99999,-99999,-99999
19,0,-99999,-99999,-99999
19,1,-99999,-99999,-99999
19,2,-99999,-99999,-99999
19,3,-99999,-99999,-99999
20,0,187.564,346.849,249.986
20,1,-99999,-99999,-99999
20,2,-99999,-99999,-99999
20,3,-99999,-99999,-99999
21,0,-99999,-99999,-99999
21,1,-99999,-99999,-99999
21,2,163.735,670.82,86.2069
21,3,130.442,740.82,92.6444
22,0,-16.8116,350.808,101.104
22,1,1.78813,420.808,93.3776
22,2,68.1457,670.808,65.8056
22,3,86.7248,740.904,58.1058
23,0,-99999,-99999,-99999
23,1,-99999,-99999,-99999
23,2,-99999,-99999,-99999
23,3,-99999,-99999,-99999
24,0,-125.453,350.452,174.946
24,1,-94.0543,420.635,175.195
24,2,17.7291,670.452,176.096
24,3,49.2596,740.909,176.352
25,0,-99999,-99999,-99999
25,1,-99999,-99999,-99999
25,2,-99999,-99999,-99999
25,3,-99999,-99999,-99999
26,0,-99999,-99999,-99999
26,1,-99999,-99999,-99999
26,2,209.461,670.392,-117.439
26,3,202.727,740.645,1.88409
27,0,-99999,-99999,-99999
27,1,-99999,-99999,-99999
27,2,-99999,-99999,-99999
27,3,-99999,-99999,-99999
28,0,-99999,-99999,-99999
28,1,-99999,-99999,-99999
28,2,-99999,-99999,-99999
28,3,-99999,-99999,-99999
29,0,-99999,-99999,-99999
29,1,-99999,-99999,-99999
29,2,-141.878,668.449,249.982
29,3,-99999,-99999,-99999
30,0,-99999,-99999,-99999
30,1,-99999,-99999,-99999
30,2,-99999,-99999,-99999
30,3,-99999,-99999,-99999
31,0,-99999,-99999,-99999
31,1,-99999,-99999,-99999
31,2,156.903,670.95,56.9079
31,3,58.9338,740.395,124.256
32,0,64.4002,350.215,220.736
32,1,55.1213,420.902,210.17
32,2,22.3256,670.902,172.9
32,3,13.2177,740.215,162.532
33,0,-99999,-99999,-99999
33,1,-99999,-99999,-99999
33,2,-213.576,670.991,194.494
33,3,-177.541,740.937,248.764
34,0,-59.5866,350.571,151.116
34,1,-54.3227,420.929,82.5306
34,2,-35.6842,670.786,-161.132
34,3,-30.3015,740.786,-229.519
35,0,-99999,-99999,-99999
35,1,-99999,-99999,-99999
35,2,-99999,-99999,-99999
35,3,-99999,-99999,-99999
36,0,-99999,-99999,-99999
36,1,237.375,420.912,100.289
36,2,111.264,670.737,45.6315
36,3,75.9752,740.65,30.3918
37,0,40.4552,350.811,153.047
37,1,30.5525,420.811,174.766
37,2,-4.66822,663.922,249.941
37,3,-99999,-99999,-99999
38,0,-99999,-99999,-99999
38,1,-99999,-99999,-99999
38,2,-99999,-99999,-99999
38,3,-99999,-99999,-99999
39,0,-99999,-99999,-99999
39,1,-99999,-99999,-99999
39,2,-99999,-99999,-99999
39,3,-99999,-99999,-99999
40,0,125.615,350.873,172.794
40,1,41.1395,420.873,187.205
40,2,-99999,-99999,-99999
40,3,-99999,-99999,-99999
41,0,-99999,-99999,-99999
41,1,-99999,-99999,-99999
41,2,-99999,-99999,-99999
41,3,-99999,-99999,-99999
42,0,-99999,-99999,-99999
42,1,-99999,-99999,-99999
42,2,206.017,670.825,-204.547
42,3,167.135,740.913,-204.942
43,0,101.351,350.435,193.048
43,1,51.0647,419.467,198.659
43,2,-131.465,670.596,219.459
43,3,-181.172,739.062,225.184
44,0,50.7585,350.903,-20.105
44,1,31.8391,420.903,-19.5129
44,2,-35.7538,670.807,-17.5055
44,3,-54.6129,740.517,-16.9369
45,0,186.732,350.93,206.841
45,1,236.576,420.904,155.995
45,2,-99999,-99999,-99999
45,3,-99999,-99999,-99999
46,0,243.417,350.567,-129.248
46,1,142.751,420.784,-87.2677
46,2,-215.313,670.621,62.1165
46,3,-99999,-99999,-99999
47,0,-99999,-99999,-99999
47,1,-99999,-99999,-99999
47,2,-233.592,670.845,134.921
47,3,-203.063,740.845,182.674
48,0,-70.3546,350.619,-56.9206
48,1,-69.8118,420.905,-79.4947
48,2,-67.8711,670.714,-159.708
48,3,-67.3167,740.524,-182.148
49,0,-99999,-99999,-99999
49,1,-99999,-99999,-99999
49,2,-141.591,670.655,-179.66
49,3,-107.083,740.914,-201.611
50,0,-99999,-99999,-99999
50,1,-99999,-99999,-99999
50,2,-99999,-99999,-99999
50,3,-99999,-99999,-99999
51,0,-99999,-99999,-99999
51,1,-99999,-99999,-99999
51,2,-99999,-99999,-99999
51,3,-99999,-99999,-99999
52,0,-99999,-99999,-99999
52,1,-99999,-99999,-99999
52,2,-241.908,670.634,209.041
52,3,-218.51,739.9,189.793
53,0,-122.246,350.848,140.841
53,1,-65.728,420.772,160.474
53,2,136.358,670.696,230.76
53,3,191.44,738.762,249.957
54,0,-99999,-99999,-99999
54,1,-99999,-99999,-99999
54,2,-143.429,670.648,136.134
54,3,-156.908,740.912,100.813
55,0,-99999,-99999,-99999
55,1,-99999,-99999,-99999
55,2,-99999,-99999,-99999
55,3,-99999,-99999,-99999
56,0,-99999,-99999,-99999
56,1,-99999,-99999,-99999
56,2,-99999,-99999,-99999
56,3,191.998,740.925,-232.718
57,0,145.702,350.927,96.8883
57,1,163.786,420.927,159.914
57,2,-99999,-99999,-99999
57,3,-99999,-99999,-99999
58,0,-99999,-99999,-99999
58,1,-99999,-99999,-99999
58,2,-99999,-99999,-99999
58,3,-99999,-99999,-99999
59,0,-99999,-99999,-99999
59,1,-99999,-99999,-99999
59,2,-99999,-99999,-99999
59,3,-99999,-99999,-99999
60,0,-99999,-99999,-99999
60,1,-99999,-99999,-99999
60,2,-185.357,670.809,-233.614
60,3,-169.774,740.713,-219.457
61,0,121.263,350.603,144.349
61,1,76.8279,420.524,174.631
61,2,-99999,-99999,-99999
61,3,-99999,-99999,-99999
62,0,-99999,-99999,-99999
62,1,-99999,-99999,-99999
62,2,5.42604,670.895,-180.666
62,3,-42.2188,740.842,-78.4074
63,0,-209.772,346.602,249.709
63,1,-99999,-99999,-99999
63,2,-99999,-99999,-99999
63,3,-99999,-99999,-99999
64,0,210.494,350.905,-193.911
64,1,195.082,420.24,-177.164
64,2,138.633,670.62,-116.986
64,3,122.706,740.905,-100.369
65,0,-1.62034,350.9,176.963
65,1,-7.96526,420.004,178.66
65,2,-30.8918,669.009,184.772
65,3,-37.5428,740.9,186.552
66,0,-99999,-99999,-99999
66,1,-99999,-99999,-99999
66,2,-99999,-99999,-99999
66,3,-99999,-99999,-99999
67,0,-99999,-99999,-99999
67,1,-99999,-99999,-99999
67,2,-99999,-99999,-99999
67,3,-99999,-99999,-99999
68,0,-181.717,350.901,175.864
68,1,-173.824,420.801,174.922
68,2,-145.725,670.801,171.485
68,3,-137.876,740.901,170.512
69,0,-99999,-99999,-99999
69,1,-99999,-99999,-99999
69,2,-173.444,670.64,-49.1361
69,3,-148.192,740.91,-71.9439
70,0,-99999,-99999,-99999
70,1,-99999,-99999,-99999
70,2,-99999,-99999,-99999
70,3,-99999,-99999,-99999
71,0,-99999,-99999,-99999
71,1,64.3933,420.6,214.311
71,2,43.0156,670.92,27.8145
71,3,37.1123,740.6,-24.0962
72,0,35.9222,350.502,-101.68
72,1,37.0762,420.9,-107.163
72,2,41.1651,670.502,-126.615
72,3,42.3244,740.9,-132.09
73,0,-99999,-99999,-99999
73,1,-99999,-99999,-99999
73,2,-99999,-99999,-99999
