Evento,Detector,X,Y,Z
41,2,-99999,-99999,-99999
41,3,-99999,-99999,-99999
42,0,-99999,-99999,-99999
42,1,-99999,-99999,-99999
42,2,-99999,-99999,-99999
42,3,-211.736,665.87,-111.591
43,0,-99999,-99999,-99999
43,1,-99999,-99999,-99999
43,2,-99999,-99999,-99999
43,3,-99999,-99999,-99999
44,0,-99999,-99999,-99999
44,1,-99999,-99999,-99999
44,2,-99999,-99999,-99999
44,3,-99999,-99999,-99999
45,0,-22.4368,350.912,85.5313
45,1,-44.7534,420.649,54.8179
45,2,-100.896,595.824,-22.2968
45,3,-123.12,665.473,-52.9148
46,0,102.341,350.317,94.1091
46,1,102.412,420.805,109.959
46,2,102.769,595.902,149.306
46,3,102.892,665.902,165.117
47,0,216.453,350.907,3.00804
47,1,192.129,420.72,14.5024
47,2,131.786,595.44,43.0993
47,3,107.324,665.813,54.4424
48,0,157.436,350.949,54.6962
48,1,125.032,420.692,166.859
48,2,-99999,-99999,-99999
48,3,-99999,-99999,-99999
49,0,-99999,-99999,-99999
49,1,-99999,-99999,-99999
49,2,-99999,-99999,-99999
49,3,-99999,-99999,-99999
50,0,10.3913,350.943,79.188
50,1,-16.518,420.943,175.175
50,2,-99999,-99999,-99999
50,3,-99999,-99999,-99999
51,0,-49.82,350.875,107.754
51,1,-105.057,420.875,39.5383
51,2,-242.854,595.501,-130.57
51,3,-99999,-99999,-99999
52,0,-67.9121,350.612,94.9959
52,1,-61.6172,420.903,78.4104
52,2,-45.9672,595.709,37.1959
52,3,-39.7141,665.224,20.8324
53,0,-99999,-99999,-99999
53,1,-99999,-99999,-99999
53,2,-99999,-99999,-99999
53,3,-99999,-99999,-99999
54,0,-99999,-99999,-99999
54,1,-99999,-99999,-99999
54,2,-99999,-99999,-99999
54,3,-99999,-99999,-99999
55,0,-99999,-99999,-99999
55,1,-99999,-99999,-99999
55,2,-248.382,595.827,197.581
55,3,-99999,-99999,-99999
56,0,-99999,-99999,-99999
56,1,-99999,-99999,-99999
56,2,200.843,595.818,-206.337
56,3,172.502,665.909,-220.642
57,0,-12.6532,350.839,-204.657
57,1,18.9108,420.437,-164.205
57,2,99.0971,595.598,-62.1608
57,3,131.236,665.599,-21.2085
58,0,183.81,350.622,-232.989
58,1,175.022,420.622,-210.213
58,2,153.034,595.717,-153.24
58,3,144.254,665.622,-130.495
59,0,-99999,-99999,-99999
59,1,-99999,-99999,-99999
59,2,-99999,-99999,-99999
59,3,234.336,665.31,74.4466
60,0,-124.977,350.92,129.482
60,1,-86.4959,420.679,94.5065
60,2,10.1148,595.92,6.66104
60,3,48.7149,665.92,-28.4211
61,0,-99999,-99999,-99999
61,1,-99999,-99999,-99999
61,2,-99999,-99999,-99999
61,3,-99999,-99999,-99999
62,0,-99999,-99999,-99999
62,1,-99999,-99999,-99999
62,2,-99999,-99999,-99999
62,3,-99999,-99999,-99999
63,0,-212.934,350.657,-49.5749
63,1,-175.153,420.571,-31.6934
63,2,-80.6122,595.828,13.0251
63,3,-42.7854,665.914,30.9512
64,0,-202.081,350.843,43.6244
64,1,-150.01,420.608,25.0194
64,2,-19.6304,595.451,-21.5692
64,3,32.9332,665.843,-40.3602
65,0,-99999,-99999,-99999
65,1,-99999,-99999,-99999
65,2,-99999,-99999,-99999
65,3,-99999,-99999,-99999
66,0,-228.441,350.604,75.8536
66,1,-215.244,420.684,128.299
66,2,-99999,-99999,-99999
66,3,-99999,-99999,-99999
67,0,-99999,-99999,-99999
67,1,-99999,-99999,-99999
