Evento,Detector,X,Y,Z
41,2,-99999,-99999,-99999
41,3,-99999,-99999,-99999
42,0,-53.3104,350.402,243.541
42,1,-99999,-99999,-99999
42,2,-99999,-99999,-99999
42,3,-99999,-99999,-99999
43,0,61.9078,350.879,176.271
43,1,-99999,-99999,-99999
43,2,-99999,-99999,-99999
43,3,-99999,-99999,-99999
44,0,-99999,-99999,-99999
44,1,-99999,-99999,-99999
44,2,-99999,-99999,-99999
44,3,-99999,-99999,-99999
45,0,-177.856,350.838,-109.804
45,1,-149.126,420.919,-67.6934
45,2,-56.6388,645.919,67.4968
45,3,-27.8933,715.758,109.482
46,0,-247.769,350.628,47.4729
46,1,-99999,-99999,-99999
46,2,-99999,-99999,-99999
46,3,-99999,-99999,-99999
47,0,-99999,-99999,-99999
47,1,-222.384,420.854,141.946
47,2,-21.0446,645.927,82.75
47,3,41.1166,715.415,64.3561
48,0,-99999,-99999,-99999
48,1,-99999,-99999,-99999
48,2,-99999,-99999,-99999
48,3,-99999,-99999,-99999
49,0,-99999,-99999,-99999
49,1,-99999,-99999,-99999
49,2,-99999,-99999,-99999
49,3,232.529,715.672,241.727
50,0,-99999,-99999,-99999
50,1,-99999,-99999,-99999
50,2,93.4698,644.605,194.405
50,3,81.9562,714.814,123.311
51,0,-204.295,350.81,169.485
51,1,-227.675,420.431,170.263
51,2,-99999,-99999,-99999
51,3,-99999,-99999,-99999
52,0,-99999,-99999,-99999
52,1,-99999,-99999,-99999
52,2,-99999,-99999,-99999
52,3,-99999,-99999,-99999
53,0,-99999,-99999,-99999
53,1,-99999,-99999,-99999
53,2,-99999,-99999,-99999
53,3,-99999,-99999,-99999
54,0,-99999,-99999,-99999
54,1,-99999,-99999,-99999
54,2,-99999,-99999,-99999
54,3,-99999,-99999,-99999
55,0,-122.428,350.71,-185.573
55,1,-127.54,420.807,-203.466
55,2,-142.476,645.661,-249.912
55,3,-99999,-99999,-99999
56,0,119.185,350.918,-17.0992
56,1,76.0842,420.51,-40.4264
56,2,-63.6879,645.918,-115.951
56,3,-106.936,715.591,-139.299
57,0,-193.875,350.488,245.438
57,1,-150.898,420.574,244.702
57,2,-12.2818,645.915,242.934
57,3,30.7722,715.915,242.414
58,0,-40.9086,350.716,-25.0552
58,1,-55.4403,420.527,-43.8191
58,2,-102.155,644.959,-104.086
58,3,-116.932,715.905,-123.152
59,0,13.3041,350.48,237.842
59,1,-9.363,420.913,204.25
59,2,-81.6935,645.567,97.1062
59,3,-104.248,715.567,63.7249
60,0,82.3811,350.915,-178.16
60,1,117.095,420.744,-202.544
60,2,-99999,-99999,-99999
60,3,-99999,-99999,-99999
61,0,-160.494,350.304,-58.4962
61,1,-187.585,420.739,-29.1848
61,2,-99999,-99999,-99999
61,3,-99999,-99999,-99999
62,0,-149.038,350.698,-65.1076
62,1,-129.342,420.925,-7.13988
62,2,-66.7126,645.245,178.242
62,3,-47.2858,715.849,236.353
63,0,195.04,350.832,-22.2054
63,1,192.668,420.916,22.9127
63,2,185.089,644.991,167.12
63,3,182.665,715.832,212.686
64,0,-173.294,350.858,-145.724
64,1,-187.597,420.929,-77.2861
64,2,-233.442,645.575,142.134
64,3,-247.765,715.717,210.659
65,0,165.219,350.93,-123.292
65,1,233.456,420.79,-101.9
65,2,-99999,-99999,-99999
65,3,-99999,-99999,-99999
66,0,216.641,350.923,74.4675
66,1,225.761,420.923,131.755
66,2,-99999,-99999,-99999
66,3,-99999,-99999,-99999
67,0,22.7997,350.716,-59.3373
